system:time_start,NDVI_mean,NDVI_stdDev
"May 12, 1984",0.282,0.127
"Jun 29, 1984",0.326,0.125
"Aug 16, 1984",0.412,0.149
"Oct 3, 1984",0.381,0.174
"Oct 19, 1984",0.315,0.159
"Dec 6, 1984",0.101,0.048
"Dec 22, 1984",0.09,0.036
"Mar 12, 1985",0.075,0.023
"Aug 19, 1985",0.476,0.181
"Oct 22, 1985",0.246,0.118
"Jan 10, 1986",0.088,0.045
"Feb 27, 1986",0.087,0.038
"Mar 15, 1986",0.087,0.033
"Mar 31, 1986",0.1,0.038
"Apr 16, 1986",0.143,0.054
"Jun 3, 1986",0.28,0.115
"Oct 25, 1986",0.259,0.13
"Nov 10, 1986",0.174,0.082
"Nov 26, 1986",0.121,0.062
"Apr 3, 1987",0.099,0.035
"Jul 8, 1987",0.351,0.119
"Sep 26, 1987",0.397,0.173
"Nov 13, 1987",0.045,0.034
"Dec 15, 1987",0.114,0.059
"Jan 16, 1988",0.092,0.051
"Feb 1, 1988",0.086,0.04
"Feb 17, 1988",0.089,0.043
"Mar 4, 1988",0.085,0.033
"Apr 5, 1988",0.105,0.045
"Apr 21, 1988",0.137,0.045
"May 7, 1988",0.243,0.116
"Jun 8, 1988",0.313,0.115
"Jul 26, 1988",0.248,0.063
"Aug 11, 1988",0.32,0.086
"Sep 12, 1988",0.412,0.171
"Sep 28, 1988",,
"Oct 14, 1988",0.31,0.146
"Oct 30, 1988",0.196,0.085
"Nov 15, 1988",,
"Dec 1, 1988",0.131,0.069
"Dec 17, 1988",0.098,0.055
"Dec 25, 1988",0.108,0.055
"Feb 11, 1989",0.072,0.036
"Mar 7, 1989",0.082,0.039
"Apr 8, 1989",0.121,0.046
"May 26, 1989",0.22,0.058
"Jun 27, 1989",0.339,0.152
"Jul 29, 1989",0.375,0.119
"Aug 14, 1989",0.38,0.125
"Aug 30, 1989",0.415,0.133
"Oct 1, 1989",0.316,0.126
"Oct 17, 1989",0.278,0.129
"Nov 18, 1989",0.151,0.077
"Dec 4, 1989",0.073,0.036
"Dec 20, 1989",0.02,0.015
"Jan 5, 1990",0.083,0.054
"Jan 21, 1990",0.05,0.037
"Feb 6, 1990",0.048,0.033
"Apr 27, 1990",0.17,0.052
"May 13, 1990",0.291,0.123
"May 29, 1990",0.281,0.075
"Jun 14, 1990",0.335,0.118
"Jul 16, 1990",0.389,0.13
"Sep 18, 1990",0.399,0.158
"Oct 20, 1990",0.138,0.059
"Nov 21, 1990",0.095,0.049
"Dec 7, 1990",0.086,0.046
"Dec 23, 1990",0.099,0.062
"Jan 8, 1991",0.08,0.052
"Jan 24, 1991",0.073,0.043
"Feb 25, 1991",0.029,0.024
"Mar 13, 1991",0.09,0.043
"Mar 29, 1991",0.015,0.008
"May 16, 1991",0.289,0.131
"Jun 17, 1991",0.354,0.155
"Aug 4, 1991",0.426,0.139
"Aug 20, 1991",0.301,0.097
"Sep 5, 1991",0.403,0.132
"Sep 21, 1991",0.392,0.151
"Oct 7, 1991",0.326,0.138
"Nov 8, 1991",0.167,0.075
"Nov 24, 1991",0.114,0.058
"Dec 10, 1991",0.016,0.015
"Jan 27, 1992",0.003,0.02
"Feb 12, 1992",0.06,0.03
"Feb 28, 1992",0.02,0.016
"Mar 31, 1992",-0.017,0.094
"Apr 16, 1992",0.077,0.017
"May 2, 1992",,
"May 18, 1992",0.289,0.116
"Jun 3, 1992",0.312,0.106
"Jun 19, 1992",0.284,0.092
"Jul 5, 1992",0.306,0.103
"Aug 22, 1992",0.439,0.174
"Sep 7, 1992",0.409,0.157
"Oct 25, 1992",0.248,0.107
"Nov 10, 1992",0.144,0.063
"Nov 26, 1992",0.078,0.038
"Dec 12, 1992",0.048,0.034
"Dec 28, 1992",0.019,0.025
"Jan 13, 1993",0,0.011
"Jan 29, 1993",0.035,0.025
"Feb 14, 1993",0.038,0.024
"Mar 2, 1993",0.07,0.03
"Mar 18, 1993",0.04,0.02
"Jun 6, 1993",0.315,0.115
"Jun 22, 1993",0.336,0.144
"Aug 9, 1993",0.298,0.056
"Aug 25, 1993",0.408,0.159
"Nov 29, 1993",0.009,0.004
"Dec 15, 1993",0.065,0.04
"Dec 31, 1993",0.063,0.042
"Apr 6, 1994",0.049,0.019
"May 8, 1994",0.248,0.102
"Jun 9, 1994",0.334,0.144
"Sep 13, 1994",0.383,0.157
"Oct 31, 1994",0.261,0.116
"Dec 2, 1994",0.173,0.079
"Dec 18, 1994",0.129,0.061
"Apr 9, 1995",0.155,0.06
"Apr 25, 1995",0.234,0.115
"May 27, 1995",,
"Jul 30, 1995",0.472,0.197
